prompt_id,engine,run,mentioned,cited_url,position,sentiment,competitors_named,sources_cited,notes
p1-chatgpt,ChatGPT,1,,,,,,,,
p1-chatgpt,ChatGPT,2,,,,,,,,
p1-chatgpt,ChatGPT,3,,,,,,,,
p1-perplexity,Perplexity,1,,,,,,,,
p1-perplexity,Perplexity,2,,,,,,,,
p1-perplexity,Perplexity,3,,,,,,,,
p2-chatgpt,ChatGPT,1,,,,,,,,
p2-chatgpt,ChatGPT,2,,,,,,,,
p2-chatgpt,ChatGPT,3,,,,,,,,
p2-perplexity,Perplexity,1,,,,,,,,
p2-perplexity,Perplexity,2,,,,,,,,
p2-perplexity,Perplexity,3,,,,,,,,
p3-chatgpt,ChatGPT,1,,,,,,,,
p3-chatgpt,ChatGPT,2,,,,,,,,
p3-chatgpt,ChatGPT,3,,,,,,,,
p3-perplexity,Perplexity,1,,,,,,,,
p3-perplexity,Perplexity,2,,,,,,,,
p3-perplexity,Perplexity,3,,,,,,,,
p4-chatgpt,ChatGPT,1,,,,,,,,
p4-chatgpt,ChatGPT,2,,,,,,,,
p4-chatgpt,ChatGPT,3,,,,,,,,
p4-perplexity,Perplexity,1,,,,,,,,
p4-perplexity,Perplexity,2,,,,,,,,
p4-perplexity,Perplexity,3,,,,,,,,
p5-chatgpt,ChatGPT,1,,,,,,,,
p5-chatgpt,ChatGPT,2,,,,,,,,
p5-chatgpt,ChatGPT,3,,,,,,,,
p5-perplexity,Perplexity,1,,,,,,,,
p5-perplexity,Perplexity,2,,,,,,,,
p5-perplexity,Perplexity,3,,,,,,,,
